id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
40252,-58.4889479006846,-34.597321570049,Banco Santander Río,BANELCO,"LOZANO, PEDRO Y SAN MARTIN AV.",CABA,1,False,False,"LOZANO, PEDRO",0,SAN MARTIN AV.,Agronomia,Comuna 15,,
41082,-58.4165777368549,-34.6512373557394,Compania Financiera,BANELCO,"LUPPI, ABRAHAM J. Y SAENZ AV.",CABA,1,False,False,"LUPPI, ABRAHAM J.",0,SAENZ AV.,Nueva Pompeya,Comuna 4,,
40053,-58.3870361113101,-34.6541481668047,Banco Patagonia,BANELCO,LUZURIAGA Y SANTO DOMINGO,CABA,1,False,False,LUZURIAGA,0,SANTO DOMINGO,Barracas,Comuna 4,,
41156,-58.3628178712696,-34.609556666833,HSBC Bank Argentina,BANELCO,LYNCH MARTA Y MANSO JUANA,CABA,2,False,False,LYNCH MARTA,0,MANSO JUANA,Puerto Madero,Comuna 1,,
41064,-58.3701259905826,-34.597089046842,CitiBank,BANELCO,"MADERO, EDUARDO AV. Y BUTTY, E., ING.",CABA,2,False,False,"MADERO, EDUARDO AV.",0,"BUTTY, E., ING.",Retiro,Comuna 1,,
41366,-58.3920726540894,-34.6583744387573,ICBC,BANELCO,"MAGALDI, AGUSTIN Y ZEPITA",CABA,1,False,False,"MAGALDI, AGUSTIN",0,ZEPITA,Barracas,Comuna 4,,
40207,-58.3920726540894,-34.6583744387573,Banco Santander Río,BANELCO,"MAGALDI, AGUSTIN Y ZEPITA",CABA,1,False,False,"MAGALDI, AGUSTIN",0,ZEPITA,Barracas,Comuna 4,,
40099,-58.3768932945547,-34.6029763510481,Banco Santander Río,BANELCO,MAIPU 440,CABA,2,False,False,MAIPU,440,,San Nicolas,Comuna 1,1006,C1006ACD
40789,-58.3625163665238,-34.6106749938175,Banco Galicia,BANELCO,"MAIZANI, AZUCENA Y MANSO JUANA",CABA,2,False,False,"MAIZANI, AZUCENA",0,MANSO JUANA,Puerto Madero,Comuna 1,,
40451,-58.4838511145755,-34.5550816654556,Banco Supervielle,BANELCO,Manzanares 4012,CABA,2,False,False,MANZANARES,4012,,Saavedra,Comuna 12,1430,C1430AEN
40994,-58.3765217583442,-34.5964543675338,Banco Galicia,BANELCO,MARCELO T. DE ALVEAR 670,CABA,2,False,False,"ALVEAR, MARCELO T. DE",670,,Retiro,Comuna 1,1058,C1058AAH
39827,-58.4159695878349,-34.5972353393391,Banco Itaú,BANELCO,MARIO BRAVO 1050,CABA,1,False,False,"BRAVO, MARIO",1050,,Palermo,Comuna 14,1175,C1175ABT
41186,-58.4360375850287,-34.5664882687775,HSBC Bank Argentina,BANELCO,MAURE 1691,CABA,3,False,False,MAURE,1691,,Palermo,Comuna 14,1426,C1426CUC
39960,-58.4213910060298,-34.6046691692964,Banco Macro,BANELCO,MEDRANO AV. Y SARMIENTO,CABA,4,False,False,MEDRANO AV.,0,SARMIENTO,Almagro,Comuna 5,,
