operacion,tipo,lat,long,m2total,m2cub,direccion,cambio,preciousd,precioars,preciousdm,precioarsm,fot,zona,shape_leng,shape_area,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-34.6467,-58.411761,451.0,0.0,FAMATINA 3565,28.0,379000.0,10612000.0,840.354767,23529.933481,,SUR,70129.8832037,88566427.56749998,FAMATINA ,3565,PARQUE PATRICIOS,4.0,1437,C1437IOM
VTA,TERRENO,-34.664666100000005,-58.49144329999999,455.0,0.0,MURGUIONDO 2800,28.0,280000.0,7840000.0,615.384615,17230.769231000002,,SUR,70129.8832037,88566427.56749998,MURGUIONDO ,2800,MATADEROS,9.0,1440,C1440COJ
VTA,TERRENO,-34.6697367,-58.5055176,224.0,0.0,Saladillo 2800,28.0,140000.0,3920000.0,625.0,17500.0,,SUR,70129.8832037,88566427.56749998,Saladillo ,2800,MATADEROS,9.0,1440,C1440FGD
VTA,TERRENO,-34.647474,-58.5002533,232.0,0.0,Albariño 1000,28.0,380000.0,10640000.0,1637.931034,45862.068966000006,3.46,SUR,70129.8832037,88566427.56749998,Albariño ,1000,MATADEROS,9.0,1440,C1440DEH
VTA,TERRENO,-34.660217200000005,-58.50611800000001,398.0,395.0,Cañada de Gómez,28.0,480000.0,13440000.0,1206.030151,33768.844221,,SUR,70129.8832037,88566427.56749998,Cañada de Gómez,,MATADEROS,9.0,,
VTA,TERRENO,-34.662290999999996,-58.5117772,450.0,0.0,Montiel 2200,28.0,293000.0,8204000.0,651.111111,18231.111111000002,,SUR,70129.8832037,88566427.56749998,Montiel ,2200,MATADEROS,9.0,1440,C1440EVN
VTA,TERRENO,-34.655049,-58.482943000000006,306.0,0.0,Gregorio de Laferrere 4900,28.0,174000.0,4872000.0,568.627451,15921.568627,,SUR,70129.8832037,88566427.56749998,Gregorio de Laferrere ,4900,MATADEROS,9.0,1407,C1407HQZ
VTA,TERRENO,-34.6612845,-58.4841454,350.0,250.0,MIRALLA 2348,28.0,215000.0,6020000.0,614.285714,17200.0,,SUR,70129.8832037,88566427.56749998,MIRALLA ,2348,MATADEROS,9.0,1440,C1440DDJ
VTA,TERRENO,-34.674089,-58.479594999999996,200.0,0.0,MURGUINDO 3899,28.0,210000.0,5880000.0,1050.0,29400.0,,SUR,70129.8832037,88566427.56749998,MURGUINDO ,3899,VILLA LUGANO,8.0,,
VTA,TERRENO,-34.664827100000004,-58.4797595,148.0,148.0,MIRALLA,28.0,170000.0,4760000.0,1148.648649,32162.162162,,SUR,70129.8832037,88566427.56749998,MIRALLA,,VILLA LUGANO,8.0,,
VTA,TERRENO,-34.614985,-58.46524599999999,553.0,0.0,BOYACA 1200,28.0,1400000.0,39200000.0,2531.64557,70886.075949,,SUR,70129.8832037,88566427.56749998,BOYACA ,1200,VILLA GRAL. MITRE,11.0,1416,C1416AAB
VTA,TERRENO,-34.6036194,-58.4643962,360.0,0.0,AV DONATO ALVAREZ 2000,28.0,1280000.0,35840000.0,3555.5555560000003,99555.55555599999,,SUR,70129.8832037,88566427.56749998,AV DONATO ALVAREZ ,2000,VILLA GRAL. MITRE,11.0,1416,C1416BTV
VTA,TERRENO,-34.612590000000004,-58.461467799999994,437.0,0.0,Trelles 1200,28.0,550000.0,15400000.0,1258.581236,35240.2746,,SUR,70129.8832037,88566427.56749998,Trelles ,1200,VILLA GRAL. MITRE,11.0,1416,C1416BRB
VTA,TERRENO,-34.618021,-58.47065500000001,225.0,0.0,Bolivia 1100,28.0,305000.0,8540000.0,1355.555556,37955.555556,,SUR,70129.8832037,88566427.56749998,Bolivia ,1100,VILLA GRAL. MITRE,11.0,1406,C1406ADT
VTA,TERRENO,-34.612590000000004,-58.461467799999994,437.0,644.0,Trelles 1200,28.0,620000.0,17360000.0,1418.764302,39725.400458,,SUR,70129.8832037,88566427.56749998,Trelles ,1200,VILLA GRAL. MITRE,11.0,1416,C1416BRB
VTA,TERRENO,-34.604181,-58.461254000000004,93.0,0.0,Nicasio Oroño 1900,28.0,270000.0,7560000.0,2903.225806,81290.322581,,SUR,70129.8832037,88566427.56749998,Nicasio Oroño ,1900,VILLA GRAL. MITRE,11.0,1416,C1416BZP
VTA,TERRENO,-34.604850899999995,-58.47117339999999,279.0,0.0,Andres Lamas 2200,28.0,300000.0,8400000.0,1075.268817,30107.526882,,SUR,70129.8832037,88566427.56749998,Andres Lamas ,2200,VILLA GRAL. MITRE,11.0,1416,C1416BIV
VTA,TERRENO,-34.613888200000005,-58.4607884,206.0,526.0,Trelles 1100,28.0,640000.0,17920000.0,3106.7961170000003,86990.291262,,SUR,70129.8832037,88566427.56749998,Trelles ,1100,VILLA GRAL. MITRE,11.0,1406,C1406BMJ
VTA,TERRENO,-34.6109654,-58.465554700000006,247.0,0.0,Medanos 1500,28.0,210000.0,5880000.0,850.2024289999999,23805.668016,,SUR,70129.8832037,88566427.56749998,Medanos ,1500,VILLA GRAL. MITRE,11.0,,
VTA,TERRENO,-34.6445501,-58.3695642,366.0,190.0,Coronel Salvadores 1300,28.0,380000.0,10640000.0,1038.251366,29071.038250999998,,SUR,70129.8832037,88566427.56749998,Coronel Salvadores ,1300,BARRACAS,4.0,1167,C1167AHH
VTA,TERRENO,-34.639313251414,-58.371193084656,361.0,0.0,Azara 700,28.0,489999.0,13719972.0,1357.33795,38005.462604,2.0,SUR,70129.8832037,88566427.56749998,Azara ,700,BARRACAS,4.0,1267,C1267ABN
VTA,TERRENO,-34.628232000000004,-58.376132,500.0,0.0,Tacuari 1700,28.0,800000.0,22400000.0,1600.0,44800.0,,SUR,70129.8832037,88566427.56749998,Tacuari ,1700,BARRACAS,4.0,1139,C1139AAJ
VTA,TERRENO,-34.646413700000004,-58.3742519,119.0,0.0,Gral. Hornos 1700,28.0,260000.0,7280000.0,2184.87395,61176.470588,,SUR,70129.8832037,88566427.56749998,Gral. Hornos ,1700,BARRACAS,4.0,1272,C1272ADH
VTA,TERRENO,-34.6529875,-58.376855799999994,484.0,405.0,San Antonio 900,28.0,300000.0,8400000.0,619.8347110000001,17355.371901,,SUR,70129.8832037,88566427.56749998,San Antonio ,900,BARRACAS,4.0,1276,C1276ADL
VTA,TERRENO,-34.6434061,-58.368753000000005,470.0,450.0,Avenida Regimiento Patricios 1400,28.0,800000.0,22400000.0,1702.12766,47659.574468,,SUR,70129.8832037,88566427.56749998,Avenida Regimiento Patricios ,1400,BARRACAS,4.0,1265,C1265AET
VTA,TERRENO,-34.647123,-58.47061,304.0,0.0,Laguna 1300,28.0,150000.0,4200000.0,493.42105300000003,13815.789474000001,,SUR,70129.8832037,88566427.56749998,Laguna ,1300,PARQUE AVELLANEDA,9.0,1407,C1407JVT
VTA,TERRENO,-34.654034,-58.40981899999999,260.0,0.0,Av. Amancio Alcorta 3600,28.0,300000.0,8400000.0,1153.8461539999998,32307.692307999998,,SUR,70129.8832037,88566427.56749998,Av. Amancio Alcorta ,3600,NUEVA POMPEYA,4.0,1437,C1437HUS
VTA,TERRENO,-34.640154948776996,-58.414872090057,356.0,0.0,Teniente General Gregorio Pomar 3600,28.0,420000.0,11760000.0,1179.775281,33033.707865,,SUR,70129.8832037,88566427.56749998,Teniente General Gregorio Pomar ,3600,NUEVA POMPEYA,4.0,,
VTA,TERRENO,-34.640995600000004,-58.413061,356.0,0.0,Uspallata 3500,28.0,450000.0,12600000.0,1264.044944,35393.258427,,SUR,70129.8832037,88566427.56749998,Uspallata ,3500,NUEVA POMPEYA,4.0,,
VTA,TERRENO,-34.650917299999996,-58.420189199999996,800.0,0.0,Av Saez 1200,28.0,647500.0,18130000.0,809.375,22662.5,,SUR,70129.8832037,88566427.56749998,Av Saez ,1200,NUEVA POMPEYA,4.0,,
VTA,TERRENO,-34.641326299999996,-58.429127,102.0,0.0,La Trilla 2100,28.0,170000.0,4760000.0,1666.666667,46666.666667000005,,SUR,70129.8832037,88566427.56749998,La Trilla ,2100,NUEVA POMPEYA,4.0,,
VTA,TERRENO,-34.65108871,-58.41268921,300.0,0.0,Traful  3700,28.0,345000.0,9660000.0,1150.0,32200.0,,SUR,70129.8832037,88566427.56749998,Traful  ,3700,NUEVA POMPEYA,4.0,1437,C1437HMH
VTA,TERRENO,-34.6404928,-58.4167,300.0,0.0,Raulet 100,28.0,450000.0,12600000.0,1500.0,42000.0,,SUR,70129.8832037,88566427.56749998,Raulet ,100,NUEVA POMPEYA,4.0,1437,C1437DMB
VTA,TERRENO,-34.6464842,-58.4206584,132.0,132.0,CORRALES,28.0,150000.0,4200000.0,1136.363636,31818.181818,,SUR,70129.8832037,88566427.56749998,CORRALES,,NUEVA POMPEYA,4.0,,
VTA,TERRENO,-34.642585600000004,-58.421071600000005,362.0,362.0,Uspallata 4166,28.0,330000.0,9240000.0,911.60221,25524.861878,,SUR,70129.8832037,88566427.56749998,Uspallata ,4166,NUEVA POMPEYA,4.0,1437,C1437JDF
VTA,TERRENO,-34.642416600000004,-58.41533670000001,389.0,0.0,Achala 3600,28.0,220000.0,6160000.0,565.5526990000001,15835.475578,,SUR,70129.8832037,88566427.56749998,Achala ,3600,NUEVA POMPEYA,4.0,1437,C1437IZB
VTA,TERRENO,-34.6514352,-58.5268179,147.0,0.0,Martánez de Hoz,28.0,210000.0,5880000.0,1428.5714289999999,40000.0,1.0,SUR,70129.8832037,88566427.56749998,Martánez de Hoz,,LINIERS,9.0,,
VTA,TERRENO,-34.632715000000005,-58.516677,950.0,0.0,Miranda 6100,28.0,669000.0,18732000.0,704.210526,19717.894737,,SUR,70129.8832037,88566427.56749998,Miranda ,6100,VERSALLES,10.0,1408,C1408CGF
VTA,TERRENO,-34.6290628,-58.3649249,226.0,226.0,Av. Almirante Brown 330,28.0,500000.0,14000000.0,2212.389381,61946.902655,4.0,SUR,70129.8832037,88566427.56749998,Av. Almirante Brown ,330,BOCA,4.0,1155,C1155AEN
VTA,TERRENO,-34.633475700000005,-58.36010400000001,632.0,0.0,Almirante Brown 900,28.0,1300000.0,36400000.0,2056.962025,57594.936709,,SUR,70129.8832037,88566427.56749998,Almirante Brown ,900,BOCA,4.0,1159,C1159ABN
VTA,TERRENO,-34.63421339999999,-58.3676264,394.0,0.0,Wenseslao Villafañe 1000,28.0,239000.0,6692000.0,606.598985,16984.771574000002,,SUR,70129.8832037,88566427.56749998,Wenseslao Villafañe ,1000,BOCA,4.0,,
VTA,TERRENO,-34.6449838,-58.362736700000006,250.0,0.0,California 900,28.0,285000.0,7980000.0,1140.0,31920.0,,SUR,70129.8832037,88566427.56749998,California ,900,BOCA,4.0,1168,C1168AAF
VTA,TERRENO,-34.6322532,-58.3591064,239.0,0.0,Aristobulo del Valle 300,28.0,267000.0,7476000.0,1117.154812,31280.334727999998,,SUR,70129.8832037,88566427.56749998,Aristobulo del Valle ,300,BOCA,4.0,1160,C1160ADF
