#X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.49781789886869;-34.61563733312429;12/06/2017;ALVAREZ JONTE AV.;4100;390;510000;1307,7;0;17,5;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 4100;1407;C1407GOU
-58.50463255609807;-34.61920907417094;09/06/2017;ALVAREZ JONTE AV.;4700;1478;2400000;1623,8;0;17,5;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 4700;1407;C1407GPN
-58.50677041321842;-34.62032296927493;09/06/2017;ALVAREZ JONTE AV.;4900;823;2600000;3159,2;0;17,5;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 4900;1407;C1407GPP
-58.511513791956055;-34.62421091616991;09/06/2017;ALVAREZ JONTE AV.;5300;100;360000;3600;0;17,5;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 5300;1407;C1407GPT
-58.51439052297233;-34.62674973718212;12/06/2017;ALVAREZ JONTE AV.;5600;390;485000;1243,6;0;17,5;VILLA LURO;COMUNA 10;ALVAREZ JONTE AV. 5600;1407;C1407GPW
-58.5153097332252;-34.62755900544509;12/06/2017;ALVAREZ JONTE AV.;5700;650;655000;1007,7;0;17,5;VILLA LURO;COMUNA 10;ALVAREZ JONTE AV. 5700;1407;C1407GPX
-58.482741194893045;-34.62797289733266;12/06/2017;ARANGUREN, JUAN F., DR.;3800;225;500000;2222,2;2,7;17,5;FLORESTA;COMUNA 10;ARANGUREN, JUAN F., DR. 3800;1407;C1407ELJ
-58.48524343705742;-34.628584528385275;12/06/2017;ARANGUREN, JUAN F., DR.;3988;270;400000;1481,5;0;17,5;FLORESTA;COMUNA 10;ARANGUREN, JUAN F., DR. 3988;1407;C1407ELN
-58.49112911889866;-34.63097223083782;14/06/2017;ARANGUREN, JUAN F., DR.;4500;320;259000;809,4;0;17,5;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4500;1407;C1407ELX
-58.49221271325342;-34.63150801816797;14/06/2017;ARANGUREN, JUAN F., DR.;4600;320;309000;965,6;0;17,5;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4600;1407;C1407ELZ
-58.49580117913641;-34.632484376084406;14/06/2017;ARANGUREN, JUAN F., DR.;4900;251;285000;1135,5;0;17,5;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4900;1407;C1407EMF
-58.5027223970128;-34.6151796192619;15/06/2017;ARREGUI;4400;217;575000;2649,8;0;17,5;MONTE CASTRO;COMUNA 10;ARREGUI 4400;1417;C1417GNP
-58.47457006087139;-34.63456449138467;12/06/2017;AZUL;200;699;300000;429,2;0;17,5;FLORESTA;COMUNA 10;AZUL 200;1407;C1407KHD
-58.47432248375008;-34.6351117824586;12/06/2017;AZUL;300;375;500000;1333,3;0;17,5;FLORESTA;COMUNA 10;AZUL 300;1407;C1407KHF
-58.48261521368194;-34.63156527678887;12/06/2017;BACACAY;3900;390;520000;1333,3;0;17,5;FLORESTA;COMUNA 10;BACACAY 3900;1407;C1407EDL
-58.479463170985326;-34.636640621668136;12/06/2017;BACLE, CESAR H.;3818;100;170000;1700;0;17,5;VELEZ SARSFIELD;COMUNA 10;BACLE, CESAR H. 3818;1407;C1407KJB
-58.49873504309135;-34.612953672570306;06/06/2017;BAHIA BLANCA;2300;245;355000;1449;0;17,5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2300;1417;C1417ASD
-58.49873504309135;-34.612953672570306;15/06/2017;BAHIA BLANCA;2300;351;430000;1225,1;0;17,5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2300;1417;C1417ASD
-58.50140571445816;-34.60999094157493;06/06/2017;BAHIA BLANCA;2600;80;159000;1987,5;0;17,5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2600;1417;C1417ASJ
-58.50225017967142;-34.610391390037236;06/06/2017;BAIGORRIA;4100;435;410000;942,5;0;17,5;MONTE CASTRO;COMUNA 10;BAIGORRIA 4100;1417;C1417FSB
-58.47591739980127;-34.63702708672106;12/06/2017;BARADERO;400;329;400000;1215,8;3,4;17,5;FLORESTA;COMUNA 10;BARADERO 400;1407;C1407KFH
-58.496536074114765;-34.62929289568038;12/06/2017;BELAUSTEGUI, LUIS, DR.;4800;156;230000;1474,4;3;17,5;VELEZ SARSFIELD;COMUNA 10;BELAUSTEGUI, LUIS, DR. 4800;1407;C1407EYD
-58.482800272255304;-34.635362866319944;14/06/2017;BENEDETTI, OSVALDO E., DIP.NAC.;100;570;700000;1228,1;3,5;17,5;VELEZ SARSFIELD;COMUNA 10;BENEDETTI, OSVALDO E., DIP.NAC. 100;1407;C1407JUB
